SMILES,HAS_BENZO,HAS_STEROID,HAS_INDOLE,VALID
c1ccc2c(c1)cc[nH]2,False,False,True,True
NCCc1c[nH]c2ccccc12,False,False,True,True
NCCc1c[nH]c2ccc(O)cc12,False,False,True,True
O=C(O)Cc1c[nH]c2ccccc12,False,False,True,True
CC(=O)NCCc1c[nH]c2ccc(OC)cc12,False,False,True,True
O=C(O)[C@@H](N)Cc1c[nH]c2ccccc12,False,False,True,True
CN(C)CCc1c[nH]c2ccccc12,False,False,True,True
CC(C)(C)OC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,False,False,True,True
Cl.NCCc1c[nH]c2ccc(O)cc12,False,False,True,True
[2H]c1c([2H])c([2H])c2[nH]ccc2c1[2H],False,False,True,True
c1ccc2[nH]ncc2c1,False,False,False,True
c1ccc2nc[nH]c2c1,False,False,False,True
c1ccc2ncoc2c1,False,False,False,True
c1ccc2ncsc2c1,False,False,False,True
c1cnc2[nH]ccc2c1,False,False,False,True
COc1ccc2[nH]c(nc2c1)S(=O)Cc3ncc(C)c(OC)c3C,False,False,False,True
CN1[C@H]2CC[C@@H]1C[C@@H](C2)NC(=O)c3nn(C)c4ccccc34,False,False,False,True
Cl.c1ccc2nc[nH]c2c1,False,False,False,True
O=c1[nH]c2ccccc2[nH]1,False,False,False,True
c1ccc2c(c1)Cc3ccccc23,False,False,False,True
