id,smiles
1,COc1ccc2ccc(=O)oc2c1CC=C(C)C
2,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1
3,C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12
4,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
5,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1
6,COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1
7,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
8,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
9,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2
10,C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1
11,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
12,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C
13,C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O
14,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
15,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
16,O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F
17,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
18,CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1
19,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
20,O=P1(NCCCl)OCCCN1CCCl
21,CC(=O)Nc1ccc(O)cc1
22,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
23,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
24,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
25,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1
26,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
27,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
28,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
29,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
30,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1
31,Nc1ccncc1N
32,Cn1cc(S(C)=O)c(=O)c2ccc(F)cc21
33,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
34,Cn1c(=O)c2c(ncn2C)n(C)c1=O
35,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
36,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
37,CCN(CC)CCOC(=O)c1ccc(N)cc1
38,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
39,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
40,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
41,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1
42,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O
43,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
44,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
45,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
46,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
47,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1
48,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O
