lead_id,lead_smiles,qed
QD_001,COCc1ccccc1[N-]S(=O)(=O)c1cc(C(=O)N(C)C)n(C)c1,0.8
QD_002,C[C@@H](SCc1ccon1)C(=O)N1CCC(Cc2ccccc2)CC1,0.8
QD_003,C[C@@](N)(C(=O)N(CCO)C1CCCC1)C(F)(F)F,0.8
QD_004,COc1ccc(CN2CC[NH+](CCCO)CC2)c(Cl)c1,0.8
QD_005,CC[C@@](C)(NCC(=O)N(C)OC)c1nc(C)cs1,0.8
QD_006,CCN(C(=O)c1cc2ccccc2c(Cl)n1)C(C)C,0.8
QD_007,N#Cc1ccc(NS(=O)(=O)c2cccc3nsnc23)cc1,0.7999
QD_008,CN(C(=O)[C@H]1CSCN1C(=O)C1[C@H]2CCCC[C@@H]12)C1CC1,0.7999
QD_009,CC(C)c1nn(C)c(Cl)c1C[NH+](CC(N)=O)Cc1ccccc1,0.7999
QD_010,c1ccc(-c2nnc3ccc(NC4CCCC4)nn23)cc1,0.7999
QD_011,Cc1ccc(C)c([C@H]2N[C@H](C(=O)[O-])CS2)c1O,0.7999
QD_012,C[C@@H]1[NH2+]C(C)(C)CO[C@@H]1c1ccc(Cl)cc1,0.7999
QD_013,COc1ccc2ccccc2c1CNC1CC[NH+](CCN(C)C)CC1,0.7999
QD_014,COCCn1cc(NC(=O)NCC#Cc2cccc(C(F)(F)F)c2)cn1,0.7999
QD_015,CCN(C[C@H](C)C#N)C(=O)CNc1cccc(Cl)c1C(N)=O,0.7999
QD_016,O=C(N[C@@H]1C(=O)NN[C@H]1c1ccccc1)c1ccc(F)cc1,0.7999
QD_017,CCO[C@H]1C[C@H](NC(=O)c2ccc(F)c(S(=O)(=O)NC)c2)C12CCC2,0.7999
QD_018,O=C1C[C@]2(CCSC2)C(=O)N1Cc1ncc(-c2cccc(F)c2)o1,0.7999
QD_019,CC[C@@H](C#N)Oc1cccc(CNC(=O)NCC2(C)CCCC2)c1,0.7999
QD_020,Cc1ccc([C@@H]2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2C[C@@H]2CCCO2)cc1,0.7999
QD_021,O=C1CC(=O)N(c2ccccc2Cc2ccccc2)C1,0.7999
QD_022,COc1ccccc1N1C[C@H](C(=O)NCCc2ccc(C(F)(F)F)cc2)CC1=O,0.7999
QD_023,C#CCNC(=O)N[C@H](c1ccccc1)C(F)(F)F,0.7999
QD_024,CSCc1cc(F)ccc1CNC(=O)C(=O)Nc1cc(F)ccc1C,0.7999
QD_025,COc1ccc(-n2nc(C(=O)N[C@H](C)[C@H](CO)SC)cc2C)cc1,0.7998
QD_026,CCCCN(C(=O)NCCc1cnn(C)c1)[C@H]1CCS(=O)(=O)C1,0.7998
QD_027,C[C@@H]1CN(c2cc(Cl)c(Cl)cc2N)CCCO1,0.7998
QD_028,COc1cccc([C@H](C)CC(=O)Nc2ccc(Cl)cc2NC(C)=O)c1,0.7998
QD_029,Cc1nc(Cl)ccc1C(=O)N(C[C@@H]1CCCCO1)C(C)C,0.7998
QD_030,Cc1ccc(C(=O)N(C)Cc2ccn(-c3ccccc3)n2)c(=O)[nH]1,0.7998
QD_031,CCOC(=O)C1(C)CC[NH+]([C@H](C)C(=O)Nc2ccc(C)c(C)c2)CC1,0.7998
QD_032,CCOC(=O)Cn1ccc(=O)c2cc(Cl)ccc21,0.7998
QD_033,Cc1ccccc1-c1noc([C@@H](C)NC(=O)c2ccco2)n1,0.7998
QD_034,COCC[C@@H](C)C(=O)N(c1ccc(C#N)cc1)C1CC1,0.7998
QD_035,O=C(c1ccc(-n2ccnn2)cc1)N1CCC[C@@H](c2ncc[nH]2)C1,0.7998
QD_036,C#CCNC(=O)c1ccccc1NCc1ccc(OC)cc1Cl,0.7997
QD_037,COc1cc(NC(=O)C(=O)N[C@@H]2CCC[C@H](C)[C@H]2C)c(OC)cc1Cl,0.7997
QD_038,CC1(C)[C@@H](NC(=O)NCc2cc(=O)[nH]c3ccccc23)[C@H]2CCO[C@@H]21,0.7997
QD_039,CC1CCC(NC(=O)C[C@H]2CCCO2)CC1,0.7997
QD_040,Cc1n[nH]c2cc(NC(=O)CNC(=O)OCC(F)(F)F)ccc12,0.7997
QD_041,CCC(CC)c1nnc(NC(=O)COc2ccc(Cl)c(C)c2)s1,0.7997
QD_042,CCC[NH2+][C@H](Cc1cc(F)cc(F)c1)c1cscc1Br,0.7997
QD_043,[NH3+][C@@H]1CCCC[C@H]1CCSc1ccccc1,0.7997
QD_044,CC(C)[C@@H](NCC(=O)N1C[C@@H](C(N)=O)Oc2ccccc21)c1ccc(F)cc1,0.7997
QD_045,O=C(CCn1nc(-c2ccc(Br)cc2)ccc1=O)NC[C@@H]1CCCO1,0.7997
QD_046,O=C1N=NCN2C1=C(n1cccc1)C1=C3CCCC[C@@H]3S[C@@H]12,0.7997
QD_047,C[C@@H](OC[C@@H](O)C[NH+](C)[C@@H]1CCSC1)c1ccc(Cl)cc1,0.7997
QD_048,N#C[C@@H]1CN(C(=O)c2cccc(C(F)(F)F)c2N)CCO1,0.7997
QD_049,C[C@H]([NH2+][C@@H](C)C1CCC1)c1cc(F)c(F)c(F)c1,0.7997
QD_050,CC(C)Cn1cc[nH+]c(N2C[C@H]3OCCN(Cc4ccccc4)[C@@H]3C2)c1=O,0.7997
QD_051,COCCn1c(C)cc(CN2CCO[C@H]3CC[C@@H](OC)C[C@@H]32)c1C,0.7997
QD_052,COC(=O)c1ccc(C(=O)N2CCC[C@@H](Nc3ccc(C(C)C)cc3)C2)nc1,0.7997
QD_053,C=CCOc1ccc(C[NH2+][C@H](C)c2ccc3c(c2)OCO3)cc1,0.7997
QD_054,CC(C)c1ccc([C@@H]2C[C@H]2C(=O)O[C@@H]2CCS(=O)(=O)C2)cc1,0.7997
QD_055,CCC[C@H]1[C@H](C)CCCN1C(=O)c1cc2cc(F)ccc2oc1=O,0.7997
QD_056,COc1cc(Cc2noc(CC#N)n2)cc(OC)c1OC,0.7996
QD_057,C[NH2+][C@H]1CC[C@H](Oc2ccccc2F)C1,0.7996
QD_058,COCc1ccccc1C(=O)N1CCC[C@@H](C(=O)[O-])C1,0.7996
QD_059,CCn1c(CCC[NH3+])nc2ccccc21,0.7996
QD_060,CCc1nc(N2CCC(C[NH3+])CC2)[nH]c(=O)c1C,0.7996
QD_061,COC[C@H](NC(=O)c1cc(C)ccc1C)C(N)=O,0.7996
QD_062,CN(C)S(=O)(=O)N1CCC[C@]2(CCC(=O)N(Cc3ccccn3)C2)C1,0.7996
QD_063,CC[C@H](C)[C@H](NC(=O)c1ccccc1)C(=O)N1CCC(C(=O)N2CCCC2)CC1,0.7996
QD_064,Cc1cc(F)ccc1CNc1cnn(-c2ncccn2)c1,0.7996
QD_065,C[C@@H](CNc1ncc(C(=O)N2CCCCC2)cc1Cl)N1CC[NH+](C)CC1,0.7996
QD_066,CCC1(CC)Nc2c(c(C)nn2C)NC1=O,0.7996
QD_067,C[C@@H](C1CC1)N(C(=O)c1ccc(F)cc1)C1CC1,0.7996
QD_068,CCOc1c(Br)cc(CCC(=O)[O-])cc1OC,0.7996
QD_069,Clc1ccc(CC[NH2+]C(C2CC2)C2CC2)cc1,0.7996
QD_070,Cc1ccc(S(=O)(=O)CCCN2CCS(=O)(=O)[C@@H](C)[C@@H]2C)cc1,0.7996
QD_071,COc1cc(F)cc([N-]S(=O)(=O)CCC2CC2)c1,0.7996
QD_072,O=C1CN(c2ccccc2)C(=O)N1CN1CCCSCC1,0.7996
QD_073,O=S(=O)(NCc1ccccc1F)c1cccc2nsnc12,0.7996
QD_074,CC1=NN[C@H](C2=NC=C(S(=O)(=O)NCc3ccc4c(c3)OCO4)C2)O1,0.7996
QD_075,COc1cc([C@@H]2CC(=O)N3CN(C)CSC3=C2C#N)cc(OC)c1OC,0.7995
QD_076,O=C(CCC(=O)N1CCc2sccc2C1)OC1CCCCC1,0.7995
QD_077,CN1CCO[C@@H]([C@H](O)Cc2ccncc2)C1,0.7995
QD_078,CCSCCC(=O)N[C@@H]1c2ccccc2C[C@H]1O,0.7995
QD_079,COC(=O)[C@@H](C(C)C)[C@@H](O)c1c[nH+]cn1C1CC1,0.7995
QD_080,CC[NH2+]Cc1ccc(N(C)CC(C)(C)O)c(C)c1,0.7995
QD_081,C[C@H]1CN(C(=O)[C@@H]2CCO[C@@H]2C)c2cc(Cl)ccc2O1,0.7995
QD_082,NC(=O)c1cc(Cl)ccc1NC(=O)[C@@H]1CC(=O)N(CCc2ccccc2)C1,0.7995
QD_083,CC(C)(C)c1ccc(NC(=O)CN2C(=O)N[C@@](C)(c3ccccc3)C2=O)cc1,0.7995
QD_084,CCCSCC(=O)N1CCC[C@H]1C(=O)Nc1nc2ccccc2s1,0.7995
QD_085,Cc1cccc(C(=O)Nc2ccnc(-c3ccccc3)n2)c1F,0.7995
QD_086,CCCCNC(=O)Cc1ccc2ccccc2c1,0.7995
QD_087,C[C@H]1CN(Cc2ccnc(Br)c2)CC[NH2+]1,0.7995
QD_088,C[C@H](OC(=O)CN(C)C(=O)OC(C)(C)C)c1nccs1,0.7995
QD_089,COCCc1noc(C[NH2+][C@@H](C)C(C)(C)C)n1,0.7995
QD_090,CC(C)C[NH+]1CCC[C@H]1c1cccc(F)c1,0.7995
QD_091,CO[C@H]1CCCN(C(=O)NCCCS(=O)(=O)c2ccccc2)C1,0.7995
QD_092,CN(C[C@@H]1CCC[NH+]1C)[C@@H](C[NH3+])c1cc(Br)ccc1F,0.7995
QD_093,CC(C)NC(=O)CSc1ccccc1C(=O)Nc1cccnc1,0.7995
QD_094,COCC[C@H](C)NC(=O)C(=O)Nc1ccc2c(c1)COC2,0.7995
QD_095,C[C@H]1[C@@H](c2ccccc2)OC[C@@H](C)N1C(=O)c1ccc(F)nc1,0.7995
QD_096,CC[C@@H](C)C(=O)N1CCCC[C@H]1C[C@@H](C)O,0.7994
QD_097,CO[C@H](C)[C@H]([NH3+])Cc1cc(C)cc(C)c1,0.7994
QD_098,CC(=O)[C@@H](Cc1ccccc1)NC(=O)CN1CCN(c2nccs2)CC1,0.7994
QD_099,CN(CCNC(=O)C(=O)Nc1cccc(Cl)c1Cl)c1ccccc1,0.7994
QD_100,O=C(c1cc(Cl)ccc1Cl)N1CCC2(CC1)OCCO2,0.7994
