ID,Molecule,Atom-mapped SMILES,Soft-spot atom ID,Reported soft spot,Reason,Metabolic_enzyme
5360696,Dextromethorphan,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:20]([cH:21]1)[O:19][C@@H:18]1[C@H:7]2[CH2:8][CH2:9][C@:10]23[CH2:11][CH2:12][N:13]([CH3:14])[CH2:15][C@:16]2([CH2:17]1)[CH2:22]3,1,O-demethylation,Dextromethorphan can be O-demethylated to dextrorphan by CYP2D6 and CYP2C9,"CYP2D6, CYP2C9"
5284371,Codeine,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:21]([cH:22]1)[O:20][C@@H:19]1[C@@H:7]2[CH2:8][CH2:9][C@:10]23[CH2:11][CH2:12][N:13]([CH3:14])[CH2:15][C@:16]2([CH:17]=[CH:18]1)[CH2:23]3,1,O-demethylation,"The hepatic CYP2D6 enzyme metabolizes a quarter of all prescribed drugs, including codeine. The CYP2D6 enzyme converts codeine into its active metabolite, morphine, which provides its analgesic effect.",CYP2D6
3033,Diclofenac,[O:1]=[C:2]([OH:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[NH:11][c:12]1[c:13]([Cl:14])[cH:15][cH:16][cH:17][c:18]1[Cl:19],16,4'-hydroxylation,"Diclofenac undergoes oxidative metabolism to hydroxy metabolites as well as conjugation to glucuronic acid, sulfate, and taurine.Label,7 The primary metabolite is 4'-hydroxy diclofenac which is generated by CYP2C9.",CYP2C9
4192,Midazolam,[CH3:1][c:2]1[n:3][cH:4][c:5]2[n:6]1-[c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]1[C:14]([c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[F:21])=[N:22][CH2:23]2,1,1-hydroxylation / 1'-hydroxylation,Midazolam can be preferentially and regioselectively oxidized by CYP3A4,CYP3A4
3676,Lidocaine,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[C:6](=[O:7])[c:8]1[c:9]([CH3:10])[cH:11][cH:12][cH:13][c:14]1[N:15]([CH3:16])[CH3:17],"2, 4",N-deethylation,"Both CYP1A2 and CYP3A4 were found to be capable of catalyzing the formation of MEGX and 3-OH-lidocaine. Lidocaine N-deethylation by liver microsomes was strongly inhibited by furafylline (by about 60%) and anti-CYP1A1/2 antibodies (>75%) at 5 microM lidocaine, suggesting that CYP1A2 was the major isoform catalyzing lidocaine N-deethylation at low (therapeutically relevant) lidocaine concentrations. Troleandomycin inhibited the N-deethylation of lidocaine by about 50% at 800 microM lidocaine, suggesting that the role of CYP3A4 may be more important than that of CYP1A2 at high lidocaine concentrations. Chemical inhibition and immunoinhibition studies also indicated that 3-OH-lidocaine formation was catalyzed almost exclusively by CYP1A2, CYP3A4 playing only a minor role. Although the CYP2C9 inhibitor sulfaphenazole (100 microM) inhibited MEGX formation by about 30%, recombinant human CYP2C9 showed very low catalytic activity, suggesting a negligible role for this enzyme in lidocaine N-deethylation. Chemical inhibition studies indicated that CYP2C19, CYP2D6, and CYP2E1 did not play significant roles in the metabolism of lidocaine in vitro. Taken together, these results demonstrate that CYP1A2 and CYP3A4 enzymes are the major CYP isoforms involved in lidocaine N-deethylation.","CYP1A2, CYP3A4"
4754,Phenacetin,[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([NH:8][C:9]([CH3:10])=[O:11])[cH:12][cH:13]1,2,O-deethylation,"Phenacetin hasa substrate been well documented as substrates for CYP1A1 and CYP1A2. Phenacetin is primarily metabolized to acetaminophen via O-deethylation, although the formation of a minor metabolite acetol (∼5%) via acetyl hydroxylation has also been reported.","CYP1A2, CYP1A1"
323,Coumarin,[O:1]=[c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[o:11]1,8,7-hydroxylation,Coumarin 7-hydroxylation is catalysed by a high-affinity CYP2A6 enzyme in human liver microsomes. CYP2A6 is the only enzyme catalysing this reaction.,CYP2A6
107921,(S)-Mephenytoin,[CH3:1][C@H:2]1[N:3]([C:4](=[O:5])[NH:6][C:7]([c:8]2[cH:9][cH:10][c:11]([OH:14])[cH:12][cH:13]2)([CH3:15])[CH3:16])[C:17](=[O:18])[CH:19]=[CH:20]1,11,4'-hydroxylation,"When recombinant CYP2C proteins were expressed using a yeast cDNA expression system, 2C19 stereospecifically 4'-hydroxylated (S)-mephenytoin with a turnover number at least 10 times higher than that of human liver microsomes. Immunoblot analysis of 16 human liver donor samples indicated that (S)-mephenytoin 4'-hydroxylase activity correlated with the hepatic CYP2C19 content. 2C19 is the principal determinant of (S)-mephenytoin 4'-hydroxylase activity in human liver.",CYP2C19
5505,Tolbutamide,[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:6](=[O:7])[NH:8][S:9](=[O:10])(=[O:11])[c:12]1[cH:13][cH:14][c:15]([CH3:16])[cH:17][cH:18]1,16,4-methylhydroxylation,CYP2C9 inactivates tolbutamide by 4methyl-hydroxylation. Tolbutamide is an oral hypoglycemic agent whose action is terminated by hydroxylation of the tolylsulfonyl methyl moiety. The reaction is catalyzed by CYP2C9.,CYP2C9
10992053,Omeprazole,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[nH:7][c:8]([S@@:9](=[O:10])[CH2:11][c:12]3[n:13][cH:14][c:15]([CH3:16])[c:17]([O:18][CH3:19])[cH:20]3)[cH:21][n+:22]2[cH:23]1,1,5-hydroxyomeprazole,"The major metabolic pathway of omeprazole is 5-hydroxylation, which is catalysed by CYP2C19.",CYP2C19
